aa	ah
mgusano	contact
mguso	special part of the body touched by opponent to indicate that he she has caught his her opponent
mguso	way of touching
mguso	touch
mguto	bawling
mgutusho	startling
mguu	leg
mguu	foot
mgwaru	cluster bean plant erect herb cultivated as fodder
mgwisho	fly whisk
mgwizi	carnivore
mhadhara	lecture
mhadhara	public talk
mhadhara	discourse
mhadhiri	lecturer
mhaini	traitor
mhajiri	immigrant
mhakiki	critic
mhakiki	reviewer
mhalibori	flap
mhalibori	strip of lining under the ornamental silk stitching down the front of a robe
mhalifu	lawbreaker
mhalifu	criminal
mhalifu	offender
mhalifu	culprit
mhamaji	emigrant
mhambarashi	short thick fighting bludgeon
mhamiaji	immigrant
mhamuni	white flowered creeping plant
mhandisi	engineer
mhanga	warthog
mhanga	blood sacrifice
mhangaiko	fuss
mhangi	toothless old person
mharabu	vandal
mharabu	destroyer
mharage	been plant
mharara	escarpment
mharara	landslide
mharibifu	destructive person
mharibifu	vandal
mhariri	editor
mharita	soop berry tree
mharuma	coloured woolen shawl
mhashamu	His Eminence
mhashiri	beam of a boat to which a mast is secured
mhasi	castrated man or animal
mhasibu	accountant
mhazigi	healer of broken limbs
mhazili	office secretary
mhemuko	emotion
mhemuko	frenzy
mhenga	ancestor
mhenga	sage
mhenga	forbear
mhenga	forebear
mheshimiwa	Honourable
mheshimiwa	His Her Excellency
mhifadhi	conservator
mhimili	beam
mhimili	pillar
mhimili	girder
mhimili	gantry
mhimili	support
mhimili	column
mhimili	axis
mhimili	prop
mhimili	jamb
mhina	henna plant
mhindi	maize plant
mhindi	maize cob
Mhindi	Indian
mhindu	Hindu
mhinzirani	tree that resembles a bamboo
mhisani	benefactor
mhitaji	needy person
mhitimu	graduate
mhonyoaji	person who likes free of charge food
mhonyoaji	services etc
mhodhi	monopolist
mhodhi	hoarder
mhoji	interviewer
mhojiwa	interviewee
mhopi	hop
mhoro	sharp stake in pit for trapping game
Mhotento	Hottentot
mhubiri	preacher
mhudumu	waiter
mhudumu	waitress
mhudumu	attendant
mhudumu	janitor
mhujumu	saboteur
mhuni	unmarried person
mhuni	idler
mhuni	vagrant
mhuni	outcast
mhuni	hooligan
mhunzi	blacksmith
mhunzi	metalworker
mhuri	rubber stamp
mhuri	seal
mhuri	stamp chop certify be approved imprimatur
mhusika	character
mhusika	responsible person
mia	hundred
miadi	date
miadi	promise
miadi	appointment
midabwada	dirty rags
midundano	counterblow
mie	abbr of me
mie	I
mifugo	livestock
migongano	corrugation
mihirabu	front part of a mosque where the imam stands as he leads the prayers
mijikenda	coastal area of Kenya where nine linguistically related tribes live
mikiki	force and arrogance
mikiki	boastfulness
mikogo	airs
mikogo	showing off
mikwala	hindrance
mikwala	annoyance
mikwala	disturbance
mila	traditions
mila	customs
milele	forever
milele	eternally
miligramu	milligram
milihoi	evil spirit
miliki	own
miliki	possess
miliki	possession
milimita	millimetre
milionea	millionaire
milioni	million
milki	realm
milki	kingdom
milki	estate
mimba	pregnancy
mimbari	pulpit
mimea	plants
mimi	I
mimi	me
mimina	pour out into
minajili	because of
minajili	as a result of
minajili	in order to
mindi	duiker
minghairi	except
minghairi	without
ming'inya	squeeze out
mini	miniskirt
minibasi	minibus
mintarafu	concerning
mintarafu	with regard to
minya	pinch
minya	squeeze
minyoo	ascarid
minyoo	worm
miondoko	gait
miondoko	style of walking or dancing
miongoni	among
miongoni	amongst
miraa	type of stimulant herb
mirabaminne	foursquared
mirabaminne	square shaped
mirabaraba	check
mirathi	heritage
mirathi	inheritance
mirathi	anapage
mirimo	witchs secrets
mirimo	trade or skill inherited from parents
misa	mass
misale	missal
misheni	mission
miski	black powder for making ink or perfume
miski	musk
mita	meter
mitabendi	meterband
mitembo	elephantiasis
miteni	two hundred
mithali	byword
mithili	like he entered like a thief similar to
mithilisha	compare
mitindo	styles
mitu	small yellow and blue parrot
miwani	pair of spectacles he is drunk he pretends not to see lorgnette
mitishamba	herbal medicine
mitishamba	herb
mizani	weighing machine scales balance
mizani	metre
mizani	mental serenity
mizigo	baggage
mizania	balance sheet
mizinga	artillery
mizungu	secret teachings
mizungu	conjuring
mizungu	legerdemain
mja	human being
mjadala	discussion
mjadhambi	blaspheme
mjafari	flame tree
mjaji	comer
mjaji	arrival
mjakazi	female slave
mjali	lamps wick
mjakaranda	jacaranda tree
mjamzito	pregnant woman
mjamzito	expectant mother
mjane	widow
mjane	widower
mjane	unmarried person
mjane	bachelor
mjane	spinster
mjango	useless visit
mjango	fruitless trip
mjanja	cunning person
mjanja	tricky person
mjanja	shrewd person
mjanja	sly person
mjanja	clever person
mjanja	cheat
mjao	volume
mjao	capacity
mjarari	tiller rope
mjatete	type of acacia tree
mjeledi	whip
mjeledi	lash
mjengo	structure
mjengo	method style of building
mjengo	pole for constructing a house
mjenzi	builder
mjenzi	contractor
mjesuti	Jesuit
mji	town
mji	womb
mji	central part of a khanga
mji	trench in a grave in which the dead is put
mjiko	haemorrhoids
mjima	member of a communal working team
mjinga	fool
mjinga	idiot
mjinga	goon
mjinga	booby
mjinga	goof
mjinga	kook
mjinga	frangipane tree
mjio	coming
mjio	arrival
mjisifu	self praising person
mjisifu	boaster
mjo	coming
mjoho	relvet apple-tree
mjohoro	iron-wood tree
mjoja	tree used to make canoes
mjoli	descendant of a freed slave
mjomba	maternal uncle
mjomba	coastal person
mjomba	a Swahili
mjomba	long and slender fish of sea water
mjombakaka	kind of big lizard
mjuba	know all person
mjuba	arrogant person
mjukuu	grandchild
mjumbe	delegate
mjumbe	member
mjumbe	representative
mjumbe	messenger
mjumbe	courier
mjume	skilled person in engraving or inlaying
mjumi	aesthete
mjumi	esthete aesthetics
mjumu	maker of knives
mjumu	big knife without a handle
mjusi	lizard
mjusi	illness that causes the nose to bleed
mjuu	wind blowing from the land to the sea
mjuvi	impudent person
mjuzi	well informed person
mjuzi	experienced person
mkaa	charcoal
mkaa	candlenut tree
mkaa	hunter
mkaajabali	shrub with silvery leaves and small pinkish white flowers
mkabala	opposite
mkabala	in front of
mkabidhi	trustee
mkabidhi	administrator of property
mkabilishemsi	clovelike plant used as vegetable
mkadamu	farm head
mkadamu	foreman
mkadi	screw pine
mkaguzi	inspector
mkaguzi	auditor
mkahale	eyeliner pencil
mkahawa	coffee tree
mkahawa	caf
mkaidi	stubbonn person obstinate person
mkaja	waistband ussually worn after child birth
mkaja	present given to the brides mother
mkaka	hard wood tree with a black pith
mkakamo	catalepsy
mkakasi	tall soft wood tree
mkakasi	cylindrical metal box for keeping perfumes
mkakati	plan
mkakati	strategy
mkakao	cocoa plant
mkalaminti	calamint
mkalatusi	eucalyptus
mkale	ancient person
mkale	founder of a clan old person who knows many things of the past
mkale	senior citizen
mkale	conservative person
mkaliliaji	boat weight balancer
mkalimani	interpreter
mkalio	bride-attendants fee
mkama	customary ruler in some parts of the Great Lakes
mkamadume	wa- ancient customary leader in Pemba
mkamamamba	type of a swallow
mkamasi	tree which bears edible slippery fruits
mkamba	bronchitis
mkamba	cough with sore throat and chest pain
mkamba	pneumonia
mkambi	flap of a leg while swimming
mkamshi	ladle
mkamshi	wooden spoon
mkanda	belt
mkanda	conveyor belt
mkanda	tape
mkandaa	red barked mangroove
mkandamizaji	oppressor
mkandamizaji	dictator
mkando	ingot
mkando	lump or bar of cast or unwrought metal
mkando	pig iron rough casting
mkangaja	type of tangerine tree
mkanganyiko	confusion
mkanganyiko	muddle
mkandarasi	contractor
mkangazi	mahogany
mkangazi	cedar
mkanju	cashew apple tree
mkanya	medicinal plant bearing white flowers
mkarafuu	clove tree
mkaragazo	heavy downpour
mkaragazo	strong tobacco
mkarakala	timber-tree giving white hard wood
mkarambati	timber-tree giving excellent wood
mkarara	chorus
mkarara	refrain
mkarati	white hard timber tree
mkasa	event
mkasa	happening usu bad
mkasa	unusual happening event unusual act comic
mkasi	pair of scissors
mkasiri	tree with a bark which gives black dye
mkata	poor person
mkata	destitute
mkataa	final decision
mkataba	contract agreement indenture treaty
mkataba	charter
mkataba	convenant
mkatafungo	tree with sturdy bark
mkatale	stocks cramp
mkatavu	obstinate
mkatavu	argumentative sullen person
mkate	bread
makatili	nm bully
mkato	cutting
mkato	incision
mkato	amputation
mkato	cut
mkato	short
mkato	decisive action speech
mkato	coma
mkatoliki	Catholic
mkaumwa	herbal plant whose roots are used as stomachache medicine
mkawini	the Creator
mkayakaya	flamboyant tree
mkasa	adversity
mkaza	wife of
mkazi	inhabitant resident
mkazo	force
mkazo	tension
mkazo	exertion
mkazo	stress
mkazo	emphasis
mke	wife
mkebe	can
mkebe	canister cigarette case
mkeka	mat
mkeketo	levelled height levelled cut
mkeketo	tummy cramps
mkeketo	sharp abdominal pains
mkeketo	cut done by something blunt
mkemia	chemist
mkembe	toddler
mkembe	youth
mkenge	general name for Albizzia tree
mkereketwa	enthusiast
mkereketwa	zealot
mkesha	eve
mkesha	vigil
mkesha	night watch
mkesha	clearance after rain clouds dispersal
mkesha	brown sparrow
Mkhufti	Copt
mkia	mkia useless person
mkiki	vehemence
mkilua	tree with sweet smelling flowers
mkimbizi	refugee
mkimbizi	truant
mkimbizi	fugitive
mkimbizi	renegade
mkimwa	irate person
mkimwa	impassive person cold person sullen person
mkinda	type of initiation dance
mkinda	type of dance at traditional celebrations such as weddings and ending of funeral
mkindu	type of long grass used for plaiting mats
mkingamo	crossing
mkingamo	being athwart
mkingamo	obstructing
mkingiri	type of herb used as anti-venom
mkingu	hard leafless tall tree
mkinzani	opposer
mkinzani	obstructionist
mkinzano	opposition
mkinzano	obstruction
mkirika	type of hedge plant
mkiritimba	monopolist
mkiwa	orphan
mkiwa	lonely person
mkiwa	loner
mkiwa	fellowless person
mkizi	cuttle-fish
mkoa	province
mkoa	region
mkoa	metal bar
mkoba	pouch
mkoba	bag
mkoba	medicinemans bag
mkoche	hyphaene dwarf palm
mkodi	tenant
mkodi	renter
mkoi	cousin
mkojo	urine
mkoko	red barked mangroove it is just the beginning
mkokoteni	push-cart
mkokoteni	barrow
mkokoteni	dray
mkokoto	dragging
mkokoto	hauling
mkokoto	pulling
mkokoto	lug
mkokoto	mark left on dragging
mkokoto	hauling or pulling hardwork pays
mkokotoo	calculation
mkokotoo	computation
mkola	cola
mkola	kola
mkole	tree with small edible fruits
mkole	fibre of which is used to produce soapy substance for washing hair etc
mkole	branch of coconut palm
mkole	stalk of fruits
mkologwe	dried banana
mkoloni	colonialist
mkoloni	colonizer
mkoma	hypheene dwarf palm
mkoma	lepper
mkoma	witch killer oppressor one who has no assistance should self assist
mkomafi	red wood tree
mkomafi	much branched tree of about
mkomafi	ft tall bearing grape fruitlike brown fruits growing in muddy sea-shores
mkomamanga	pomegranate
mkombo	handle of a rudder
mkombozi	liberator
mkombozi	emancipator
mkombozi	redeemer
mkombozi	saviour
mkomo	kind of powdered charm believed to cause sb to faint
mkomunisti	communist
mkomwe	climbing tree with hard seeds used as counters in the game of bao
mkondo	current
mkonga	tusk
mkonge	sisal plant
mkonge	type of fish with thin numerous bones in its fillet
mkongojo	staff
mkongwe	extremely old person
mkoni	pine tree
mkono	arm
mkono	hand
mkono	handle
mkono	branch of river
mkono	creek of sea
mkono	cubit half yard he she is a thief he she has nice handwriting he she is dexterous he she is clumsy he she is slow lough
mkonokono	anti-venom expert
mkonzo	hardened pointed stake or pole used as a weapon or for poking crabs etc
mkoo	dirty slovenly person
mkopeshaji	creditor
mkopeshaji	lender
mkopi	borrower
mkopi	knave
mkopo	credit hire purchase
mkopo	loan
mkora	scoundrel
mkora	rascal
mkora	hooligan
mkora	crook
mkorofi	onerous person
mkorofi	troublesome impatient person
mkorogo	stirring
mkorogo	mashing
mkorogo	mixing of ingredients
mkorogo	muddled up event
mkorogo	local brew
mkoromo	snore
mkorosho	cashew nut tree
mkosaji	wrongdoer
mkosaji	culprit
mkosaji	failure
mkosefu	guilty person
mkosefu	offender
mkosi	bad omen
mkosi	jinx
mkosha	goad
mkota	sweet stalked sorghum
mkota	strong person
mkowa	money belt
mkrismasi	mi- flamboyant tree
mkristo	christian
mkucha	golden oriole
mkudhumani	pomegranate tree
mkufu	chain
mkufu	necklace
mkufunzi	tutor
mkufunzi	instructor
mkugo	debt
mkuki	spear
mkukini	cockney
mkuku	keel of a boat or ship
mkukuriko	force in doing something
mkulima	farmer
mkulima	peasant
mkulima	cultivator
mkulivu	borer
mkulivu	slacker
mkulivu	idler
mkulivu	lazy person
mkulo	coconut strainer
mkumbi	tree with yellow dye producing bark
mkumbizi	sweeper
mkumbizi	crop sweeper
mkumbo	sweep
mkumbo	swoop
mkumbo	devastation
mkumbo	total destruction
mkunatuu	type of wound healing tree
mkunazi	jujube tree
mkunazi	chinese date palm
mkundaji	kind of fish believed to cause rashes if eaten
mkunde	cocopea plant
mkundu	anus
mkunga	midwife
mkunga	eel
mkunge	scabies
mkungu	bunch of banana
mkungu	Indian almond tree
mkungu	earthenware dish utensil lid
mkunguma	kind of tree with long pendulous races of pink or yellow flowers
mkungumanga	nutmeg tree
mkunguni	lazy person
mkunguni	idler
mkunguni	tree from which pestles are made
mkunguru	acclimatization fever
mkunguru	fear
mkunguru	type of tree with excellent timber
mkung'uto	shaking off
mkunguzi	type of creeping plant
mkunjo	fold
mkunjo	crease
mkunjo	wringle
mkunjo	bending
mkunjo	folding
mkuno	scratching
mkuno	scraping
mkuno	grating
mkunungu	throny tree with bad smelling leaves
mkunyati	type of tall clinging tree
mkunyuo	forceful pull
mkunzo	bracelet
mkuo	ingot
mkuo	bar
mkupi	type of yellow fish living in estuaries
mkupuo	one time
mkupuo	instalment
mkupuzi	wa- thief
mkupuzi	snatcher
mkure	black gray eel
mkuruba	neighbourhood
mkuruba	nearness
mkurufunzi	apprentice
mkurufunzi	trainee
mkurufunzi	student
mkurugenzi	director
mkurungu	type of timber tree
mkururo	chain of things
mkururo	events etc
mkuruti	kind of timber tree that indicates good soil
mkuruzo	piece of string tape for fastening a garment
mkusanyiko	gathering
mkusanyiko	collection
mkusanyiko	concourse
mkusanyo	gathering
mkusanyo	pile of things put together
mkusanyo	corpus
mkusi	bird tail
mkutano	meeting
mkutano	conference
mkutano	gathering
mkutubi	librarian
mkutuo	sudden pull
mkutuo	jerk
mkuu	important person
mkuu	head
mkuu	incharge
mkuu	top man
mkuyati	aphrodisiac
mkuyu	wild fig tree
mkwachuro	disease causing coconut husks to wringle
mkwaju	tamarind tree
mkwaju	stick
mkwaju	stroke
mkwaju	strong shoot kick
mkwakwa	elephant orange tree
mkwakwara	kind of tree with leaves that are sometimes used as vegetables
mkwamba	bramble
mkwamba	kind of thorny bush which resembles henna bush
mkwara	type of tree used for firewood
mkwara	and for making walking sticks a pretty beautiful person needs no decorations
mkware	sex maniac
mkware	lascivious
mkware	lecher
mkwaruzano	friction
mkwaruzano	misunderstanding
mkwaruzano	quarrel
mkwaruzano	conflict
mkwaruzo	scratch
mkwaruzo	mark
mkwaruzo	jar
mkwasi	rich well-off
mkwasi	wealthy
mkwasi	affluent person
mkwe	in-law
mkweche	jalopy
mkweche	old car plane
mkweme	climbing plant with large seeds which produce cooking oil
mkweme	and the fruits are used as medicine
mkwende	edible sword bean
mkwepuzi	wa- thief
mkwepuzi	snatcher
mkwezi	climber
mkwiji	waist money bag
mkwinini	cinchona
mkwiro	drumstick
mla	eater
mlaanifu	cursed person
mladi	weaving stick
mlafi	glutton
mlafi	gourmand
mlaji	consumer
mlaji	good eater
mlahaka	reception
mlakasa	kind of coastal tree with large and heavy leaves used as bait for fish or for washing children
mlakungu	type of antineuralgic plant
mlala	hyphaene
mlala	dwarf palm
mlalamikaji	complainant
mlalamikaji	plaintiff
mlalamikaji	petitioner
mlalamishi	complainant
mlalamishi	complainer
mlalamishi	malcontent
mlalavi	restless sleeper
mlale	soot
mlama	type of tree used as anti-vernom
mlamba	one who licks with the tongue
mlamba	kind of very tall baobab tree
mlamu	brother in law sister in law
mlambizu	kind of bird that likes to eat worms and grubs
mlandano	similarity
mlandano	resemblance
mlandege	parasite plant often found on clove trees
mlangamia	type of parasitic plant
mlangilangi	type of tall tree with aromatic flowers
mlango	door backdoor
mlango	bribery
mlango	clan
mlango	family
mlango	chapter of a book
mlangowabahari	channel
mlangowafahamu	sense organ
mlanguzi	middleman
mlanguzi	black marketeer
mlariba	usurer
mlasa	red white pink flower
mlaso	dish made of blood mixed with sour milk
mlawatu	cannibal
mlawiti	bugger
mlawiti	sodomite
mlei	layman
mlele	tail feather
mlemavu	disabled person
mlembe	sanitary napkin
mlembe	honey bird
mlenda	type of sleepery vegetable
mlenge	game played by throwing four sticks at a target
mleoleo	staggering
mleoleo	wavering movement
mleoleo	edge of a vessel
mlete	seam in a sail
mlevi	drunkard alcoholic
mlevi	drinker
mlezi	guardian
mlezi	custodian
mlezi	babys swinging cot
mlezi	tonsillitis
mlezi	swollen neck glands
mli	halyard
mli	rope tied on the stiring wheel to direct the vessel
mlia	stripe of colouring
mlifi	payer
mlima	mount
mlima	mountain
mlimaji	cultivator
mlimaji	farm worker
mlimao	lemon tree
mlimbiko	reserve
mlimbiko	treasure
mlimbiko	saving
mlimbomlimbo	thorn shrub used as hedge
mlimbuko	first harvest
mlimbuko	first experience
mlimbuko	feeling from first experience
